85148,1832756800,728,26582,19809,8335,29087
!,24,15,7,18,,
@,1,1,0,0,,
%,0,0,0,1,,
^,3,1,0,3,,
&,35,16,5,9,,
(,4,0,0,2,,
),6,3,2,8,,
-,17,24,3,9,,
=,0,0,2,1,,
~,0,6,0,0,,
<,1,0,1,0,,
>,1,0,0,0,,
;,2,0,0,0,,
?,5,5,3,4,,
',2,1,1,0,,
/,1,0,0,0,,
:,5,1,1,2,,
‚ô•,0,1,0,1,,
‚úã,1,0,0,0,,
‚ùó,0,1,0,0,,
‚ù§,0,5,0,0,,
!!,6,9,4,7,,
^^,0,0,0,1,,
(;,2,0,0,1,,
(:,17,4,1,4,,
):,2,1,0,0,,
--,1,3,0,0,,
=(,0,1,0,0,,
=),3,2,0,0,,
=/,0,1,0,0,,
~~,0,0,0,1,,
;(,1,0,0,2,,
;),33,15,6,18,,
?!,0,1,0,0,,
?*,0,0,0,1,,
??,0,1,1,5,,
/:,2,1,0,1,,
:(,26,11,2,8,,
:),171,102,17,41,,
:/,11,0,1,1,,
‚ù§Ô∏è,1,0,1,1,,
Âä†Ê≤π,1,0,0,0,,
Ì†ºÌæ∂,0,4,0,0,,
Ì†ΩÌ±ä,0,0,0,1,,
Ì†ΩÌ≤ì,1,0,0,0,,
Ì†ΩÌ≤ú,1,0,0,0,,
Ì†ΩÌ≤©,0,0,0,1,,
Ì†ΩÌ∏Ä,0,1,0,0,,
Ì†ΩÌ∏Å,1,1,0,0,,
Ì†ΩÌ∏Ç,1,1,0,0,,
Ì†ΩÌ∏Ñ,0,1,0,0,,
Ì†ΩÌ∏Ü,0,1,0,0,,
Ì†ΩÌ∏â,2,2,0,1,,
Ì†ΩÌ∏ä,4,1,0,0,,
Ì†ΩÌ∏ã,2,0,0,0,,
Ì†ΩÌ∏å,1,0,1,0,,
Ì†ΩÌ∏é,0,1,0,0,,
Ì†ΩÌ∏è,1,1,0,0,,
Ì†ΩÌ∏í,0,0,1,2,,
Ì†ΩÌ∏î,2,0,0,0,,
Ì†ΩÌ∏ò,3,2,0,0,,
Ì†ΩÌ∏ú,1,2,0,1,,
Ì†ΩÌ∏ù,1,0,0,0,,
Ì†ΩÌ∏û,1,0,0,0,,
Ì†ΩÌ∏°,1,0,0,0,,
Ì†ΩÌ∏¢,0,1,0,0,,
Ì†ΩÌ∏§,1,0,0,0,,
Ì†ΩÌ∏•,1,0,0,0,,
Ì†ΩÌ∏≠,0,1,0,0,,
Ì†ΩÌ∏≥,2,1,0,0,,
Ì†ΩÌ∏¥,1,0,0,0,,
Ì†ΩÌπà,1,0,0,0,,
Ì†ΩÌπä,0,1,0,0,,
Ì†ΩÌ∫≤,1,0,0,0,,
!!!,8,6,3,2,,
^^^,0,1,0,0,,
^_^,1,0,2,0,,
(':,0,0,0,1,,
)':,2,0,0,0,,
-_-,2,0,0,2,,
<_<,0,0,0,1,,
<<<,1,0,0,0,,
>:(,1,0,0,0,,
;)),0,0,0,1,,
;-),7,5,0,2,,
?!?,0,0,0,1,,
?(;,1,0,0,0,,
???,0,1,0,1,,
:)!,0,0,1,0,,
:)),6,0,0,0,,
:)-,0,1,0,0,,
:-),13,13,3,9,,
:-/,1,0,2,0,,
:'(,2,1,0,0,,
:'),2,0,0,0,,
Ì†ΩÌ∏Ç^,0,1,0,0,,
!!!!,2,6,1,0,,
!!!@,0,1,0,0,,
(((:,0,0,0,1,,
>:-/,0,1,0,0,,
